1.0,,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,,4.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,H,H,H,H,H,,H,H,H,H,H,H,H,,H,H,H,H,H,H,,,,,,,
,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,
,,H,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,H,,,,,,,
,,H,,H,,,,,,,,,,,,,,,H,,H,,,,,,,
,,H,,H,,H,H,H,H,H,H,H,H,H,H,H,,H,,H,,,,,,,,
,,H,,H,,,,,,,,,,,,,H,,H,,,,,,,,,
,,H,,H,,H,H,H,H,H,H,H,,,H,,H,,H,,,,,,,,,
,,H,,H,,H,,,,,,,,H,,H,,H,,,,,,,,,,
,,H,,H,,H,,H,H,H,H,H,,H,,H,,H,,,,,,,,,,
,,H,,H,,,,H,,,,,,H,,H,,H,,,,,,,,,,
,,H,,H,,H,H,H,H,,H,H,H,H,H,H,H,,H,,,,,,,,,
,,H,,H,,,,,,H,,,,,,,,,H,,,,,,,,,
,,H,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,H,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,,,,3.0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
